timestamp,asn,-,csp,tls,hash,extract_regex,cdn_name,sni,port,-,url,input,location,title,scheme,error,webserver,body,body_preview,content_type,method,host,path,favicon,favicon_path,final_url,header,raw_header,request,time,jarm,chain_status_codes,a,cname,tech,extracts,chain,words,lines,status_code,content_length,failed,vhost,websocket,cdn,http2,pipeline,headless_body,screenshot_bytes,stored_response_path,screenshot_path,screenshot_path_rel,knowledgebase
2024-04-10 12:17:51.132181 +0200 CEST m=+1.529668293,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=adfd1bdc;path=/;secure
Set-Cookie: MRHSession=76f545cf3a9852b8f13a1421adfd1bdc;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm2-eni-vpn-user.eni.com,apm2-eni-vpn-user.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.33.44,/,,,,map[],,,730.584708ms,,[],[151.96.33.44],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.132206 +0200 CEST m=+1.529692918,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=4844c67c;path=/;secure
Set-Cookie: MRHSession=63541464c1cf7fcb0af6595f4844c67c;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm1-eni-vpn-ind.eni.com,apm1-eni-vpn-ind.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.252.78,/,,,,map[],,,729.699167ms,,[],[151.96.252.78],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.132215 +0200 CEST m=+1.529701959,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=860d3ec5;path=/;secure
Set-Cookie: MRHSession=4730c1702c5794bce547d974860d3ec5;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm4-eni-vpn-admin.eni.com,apm4-eni-vpn-admin.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.252.113,/,,,,map[],,,729.997709ms,,[],[151.96.252.113],[apm4-eni-vpn-admin.gtm.eni.com],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.132504 +0200 CEST m=+1.529991543,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=d4224e45;path=/;secure
Set-Cookie: MRHSession=11bc8f9384a98114df1c1739d4224e45;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm1-eni-vpn-admin.gtm.eni.com,apm1-eni-vpn-admin.gtm.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.252.83,/,,,,map[],,,729.93525ms,,[],[151.96.252.83],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.137598 +0200 CEST m=+1.535085751,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=23490e2d;path=/;secure
Set-Cookie: MRHSession=d2a07fd992bda0673636ff8523490e2d;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm1-eni-vpn.eni.com,apm1-eni-vpn.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.252.88,/,,,,map[],,,735.493292ms,,[],[151.96.252.88],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.137598 +0200 CEST m=+1.535085709,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=fd63f1d8;path=/;secure
Set-Cookie: MRHSession=ef440771ba897746167ea7f0fd63f1d8;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm3-eni-vpn-user.eni.com,apm3-eni-vpn-user.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.33.12,/,,,,map[],,,735.590208ms,,[],[151.96.33.12],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.137603 +0200 CEST m=+1.535089834,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=a437c302;path=/;secure
Set-Cookie: MRHSession=43bf0b107444488c8991eb13a437c302;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm3-eni-vpn-full.eni.com,apm3-eni-vpn-full.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.33.13,/,,,,map[],,,735.597458ms,,[],[151.96.33.13],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.169971 +0200 CEST m=+1.567459126,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=ce3d6347;path=/;secure
Set-Cookie: MRHSession=b38907dc7d0320ea6e49fe8dce3d6347;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm4-eni-vpn-user.eni.com,apm4-eni-vpn-user.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.252.108,/,,,,map[],,,767.644166ms,,[],[151.96.252.108],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.169976 +0200 CEST m=+1.567463876,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=49b002fc;path=/;secure
Set-Cookie: MRHSession=d0f9fedbf0eb31cd57d5c12749b002fc;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm2-eni-vpn.eni.com,apm2-eni-vpn.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.33.55,/,,,,map[],,,767.65625ms,,[],[151.96.33.55],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
2024-04-10 12:17:51.169971 +0200 CEST m=+1.567459126,<nil>,<nil>,<nil>,<nil>,map[],[],,,443,"HTTP/1.0 302 Found
Connection: close
Location: /my.policy
Server: BigIP
Set-Cookie: LastMRH_Session=99418bc7;path=/;secure
Set-Cookie: MRHSession=61ac9176752a5cae3a2a937e99418bc7;path=/;secure
Set-Cookie: MRHSHint=deleted; expires=Thu, 01-Jan-1970 00:00:01 GMT; path=/;secure
Content-Length: 0

",https://apm3-eni-vpn-top.eni.com,apm3-eni-vpn-top.eni.com,/my.policy,,https,,BigIP,,,,GET,151.96.33.15,/,,,,map[],,,768.677833ms,,[],[151.96.33.15],[],[F5 BigIP],map[],[],1,1,302,0,false,false,false,false,false,false,,[],,,,map[PageType:other pHash:0]
